# Unroll 4 gemm
# N 	 time 	 GFLOPS/s
200 	 0.041 	 0.389
240 	 0.075 	 0.367
280 	 0.117 	 0.375
320 	 0.185 	 0.354
360 	 0.253 	 0.369
400 	 0.374 	 0.342
440 	 0.473 	 0.360
480 	 0.682 	 0.325
520 	 0.880 	 0.320
560 	 1.317 	 0.267
600 	 1.604 	 0.269
640 	 2.313 	 0.227
680 	 2.646 	 0.238
720 	 3.579 	 0.209
760 	 4.048 	 0.217
800 	 5.231 	 0.196
840 	 5.555 	 0.213
880 	 6.419 	 0.212
920 	 7.715 	 0.202
960 	 9.745 	 0.182
1000 	 9.864 	 0.203
1040 	 12.250 	 0.184
1080 	 12.654 	 0.199
1120 	 15.262 	 0.184
1160 	 15.478 	 0.202
1200 	 18.762 	 0.184
